user_id,signup_date,subscription_plan,monthly_price,discount_applied,tenure_months,monthly_usage_hours,sessions_per_month,device_type,region,age_group,acquisition_channel,referral_flag,customer_support_tickets,payment_failures,content_category_preference,engagement_score,churn_flag,churn_probability,lifetime_value,churn_reason,price_sensitivity,customer_satisfaction,lifecycle_stage,usage_trend,support_sentiment,competitor_exposure,promotion_type
100000,2024-02-01,Premium,799,0.3,22,26.9,8,Tablet,South,18-24,Referral,1,1,0,Comedy,1.93,1,0.76,2946.39,"Switched to competitor",High,Neutral,Mature,Declining,Neutral,Occasional,Seasonal
100001,2024-12-30,Standard,499,0.2,33,12.8,6,TV,North,18-24,"Meta Ads",0,0,1,Technology,1.01,1,0.87,1650.79,"Price too high",Medium,"Very satisfied",Mature,Stable,"No contact",Occasional,Seasonal
100002,2023-05-11,Standard,499,0,17,14.5,16,TV,North,18-24,"Meta Ads",0,0,0,Technology,1.51,1,0.81,1589.25,"Low usage",High,"Very satisfied",Growth,Stable,"No contact",None,None
100003,2024-07-18,Premium,799,0,12,35.3,3,TV,West,25-34,"Meta Ads",0,0,0,Education,2.24,1,0.72,2664.66,"Low usage",Low,Dissatisfied,Growth,Increasing,"No contact",Occasional,None
100004,2024-02-05,Basic,299,0.3,30,13.1,40,TV,West,35-44,Referral,0,0,0,Comedy,2.39,1,0.7,1861.89,"Switched to competitor",Low,Satisfied,Mature,Stable,"No contact",None,Seasonal
100005,2024-01-01,Basic,299,0,26,19.5,50,Mobile,West,55+,Email,0,2,0,Comedy,3.17,1,0.61,3057.52,"Price too high",High,"Very dissatisfied",Mature,Stable,Positive,None,None
100006,2023-11-11,Standard,499,0,13,31,29,Tablet,West,35-44,"Google Ads",0,1,3,Comedy,3.02,1,0.63,2430.61,"Price too high",Medium,Dissatisfied,Growth,Stable,Negative,None,None
100007,2021-05-02,Basic,299,0.2,6,27.7,31,Tablet,West,55+,"Google Ads",1,2,0,Comedy,2.9,1,0.64,516.39,"Switched to competitor",High,"Very dissatisfied",Growth,Increasing,Neutral,None,Seasonal
100008,2022-04-12,Standard,499,0,3,11.6,40,TV,East,18-24,"Google Ads",0,1,0,Education,2.3,1,0.71,427.18,"Low content relevance",Medium,Satisfied,Onboarding,Stable,Neutral,Occasional,None
100009,2024-05-23,Basic,299,0.2,11,40.9,41,Mobile,West,45-54,"Meta Ads",0,1,0,Fitness,4.09,0,0.49,1335.19,Active,Medium,Neutral,Growth,Stable,Positive,Occasional,Referral
100010,2021-11-27,Premium,799,0,43,46.9,6,Laptop,North,45-54,"Meta Ads",1,1,1,Fitness,3.05,1,0.62,13001.1,"Low usage",High,Dissatisfied,Mature,Declining,Neutral,Occasional,None
100011,2021-03-29,Standard,499,0,10,15.2,43,Tablet,South,35-44,"Meta Ads",0,0,0,Fitness,2.63,1,0.67,1628.25,"Poor app experience",Medium,"Very dissatisfied",Growth,Increasing,"No contact",Occasional,None
100012,2024-10-28,Basic,299,0.1,11,8.9,28,Mobile,South,35-44,"Meta Ads",0,0,0,Fitness,1.65,1,0.8,605.98,"Switched to competitor",High,Neutral,Growth,Declining,"No contact",None,Referral
100013,2024-01-29,Premium,799,0.1,16,27.2,24,Mobile,North,25-34,"Google Ads",0,0,2,Fitness,2.59,1,0.68,3697.21,"Poor app experience",Low,Neutral,Growth,Increasing,"No contact",Occasional,Seasonal
100014,2023-05-22,Basic,299,0.2,20,21.2,14,Mobile,East,25-34,"Meta Ads",1,0,0,Technology,1.83,1,0.77,1086.19,"Poor app experience",Low,"Very dissatisfied",Mature,Stable,"No contact",Occasional,Referral
100015,2021-05-11,Basic,299,0.1,42,49.4,31,TV,North,45-54,Email,0,1,0,Drama,4.2,0,0.48,5889.48,Active,Low,"Very satisfied",Mature,Increasing,Positive,Occasional,Referral
100016,2024-08-25,Basic,299,0,44,19.6,26,Tablet,North,18-24,"Google Ads",0,0,2,Education,2.22,1,0.72,3623.61,"Low usage",Medium,Neutral,Mature,Declining,"No contact",High,None
100017,2023-02-09,Standard,499,0.1,19,7,8,Laptop,North,55+,Organic,0,1,0,Drama,0.74,1,0.91,783.42,"Poor app experience",High,Satisfied,Mature,Stable,Negative,None,Retention
100018,2021-12-10,Standard,499,0.2,9,19.5,24,Mobile,East,25-34,"Google Ads",1,1,0,Technology,2.13,1,0.74,949.46,"Price too high",Medium,Neutral,Growth,Stable,Negative,None,Referral
100019,2024-12-08,Standard,499,0.3,36,24.7,1,TV,North,18-24,Organic,0,2,0,Drama,1.52,1,0.81,2371.43,"Switched to competitor",Medium,"Very dissatisfied",Mature,Stable,Positive,High,Retention
100020,2023-03-17,Basic,299,0.2,15,19,10,Tablet,East,35-44,"Google Ads",0,0,0,Fitness,1.54,1,0.81,685.55,"Poor app experience",High,Neutral,Growth,Stable,"No contact",None,Retention
100021,2022-01-21,Premium,799,0.1,23,19.1,58,Tablet,South,55+,Organic,0,0,1,Comedy,3.47,0,0.57,7120.52,Active,Low,"Very satisfied",Mature,Increasing,"No contact",High,Referral
100022,2024-04-30,Standard,499,0,21,17.9,32,Tablet,East,55+,"Meta Ads",0,0,1,Fitness,2.35,1,0.71,3055.29,"Poor app experience",High,"Very dissatisfied",Mature,Declining,"No contact",None,None
100023,2023-08-14,Basic,299,0.2,39,19.9,43,TV,West,45-54,Organic,1,0,0,Education,2.91,1,0.64,3368.09,"Switched to competitor",High,"Very satisfied",Mature,Stable,"No contact",None,Seasonal
100024,2021-10-04,Standard,499,0.2,5,28.2,50,Laptop,East,55+,Referral,0,1,0,Comedy,3.69,0,0.54,913.8,Active,Low,Satisfied,Onboarding,Stable,Negative,Occasional,Referral
100025,2024-03-30,Standard,499,0,22,24.1,50,Tablet,North,25-34,Referral,0,0,1,Drama,3.45,0,0.57,4699.02,Active,Low,"Very satisfied",Mature,Increasing,"No contact",None,None
100026,2022-04-05,Basic,299,0.1,31,14.1,8,Mobile,West,25-34,"Meta Ads",1,1,0,Comedy,1.17,1,0.85,1210.95,"Price too high",Low,"Very satisfied",Mature,Stable,Positive,None,Retention
100027,2024-08-30,Basic,299,0.1,15,9.6,52,TV,North,45-54,Organic,0,0,0,Fitness,2.66,1,0.67,1332.15,"Low usage",High,"Very satisfied",Growth,Increasing,"No contact",None,Retention
100028,2021-01-22,Basic,299,0,28,13.6,19,Tablet,North,45-54,Referral,0,0,0,Comedy,1.58,1,0.8,1641.16,"Price too high",Low,"Very dissatisfied",Mature,Declining,"No contact",Occasional,None
100029,2021-09-10,Premium,799,0.1,38,13.1,12,Tablet,South,18-24,Email,0,1,0,Fitness,1.27,1,0.84,4305.68,"Low content relevance",High,Neutral,Mature,Increasing,Negative,None,Referral
100030,2023-01-18,Standard,499,0,15,15.1,15,Mobile,East,55+,Referral,1,0,0,Drama,1.51,1,0.81,1402.28,"Low usage",Medium,Neutral,Growth,Stable,"No contact",High,None
